method,t,staggered_magnetisation,error
Ran.,0,-0.3946767191572106,0.0133696088559909
Ran.,1,-0.253976843971289,0.0271061926358785
Ran.,2,-0.0889057122164687,0.0152629763047472
Ran.,3,-0.0343353821660808,0.0142638064522113
Ran.,4,-0.0145871703543808,0.0141692183117108
Ran.,5,0.0022988320876096,0.0159599469369315
ADAPT-AQC,0,-0.4074378381960254,0.005977122943003
ADAPT-AQC,1,-0.2546040217070798,0.0058532454194791
ADAPT-AQC,2,-0.1576078782046181,0.008276791424952
ADAPT-AQC,3,-0.1092471221536089,0.0159368119008358
ADAPT-AQC,4,-0.057586154899169,0.0239990318326609
ADAPT-AQC,5,-0.0407147344849295,0.0144238982749612
AQC-Tensor,0,-0.4044912632665129,0.0090463659565796
AQC-Tensor,1,-0.2595060272165032,0.0072206731941774
AQC-Tensor,2,-0.1546090414447897,0.0127041583876147
AQC-Tensor,3,-0.0949849419434066,0.0168445517129456
AQC-Tensor,4,-0.0592803656639333,0.0172701926975644
AQC-Tensor,5,-0.0467030436348528,0.01423501043307
