t,staggered_magnetisation
0.0,-0.5
0.1,-0.4951177649913349
0.2,-0.48068192087724104
0.30000000000000004,-0.4573125484477762
0.4,-0.4260018293116319
0.5,-0.3880541822142228
0.6000000000000001,-0.34500942868485646
0.7000000000000001,-0.29855417236197296
0.8,-0.2504283535754436
0.9,-0.20233314099719849
1.0,-0.1558463883375594
1.1,-0.11235075676749563
1.2000000000000002,-0.07297834284134692
1.3,-0.03857446274617767
1.4000000000000001,-0.009681209579266568
1.5,0.013459524803619054
1.6,0.030886336592894175
1.7000000000000002,0.0428839873119148
1.8,0.04993885480309203
1.9000000000000001,0.052687855983491724
2.0,0.05186454086152453
2.1,0.048247144494553494
2.2,0.042610737141030856
2.3000000000000003,0.03568664632749773
2.4000000000000004,0.02813029881438643
2.5,0.020498938360086337
2.6,0.013238692217506733
2.7,0.006680887837517517
2.8000000000000003,0.0010460716706970326
2.9000000000000004,-0.003546049320180767
3.0,-0.0070620384239408265
3.1,-0.009537638153456693
3.2,-0.01105990459624818
3.3000000000000003,-0.0117498477864389
3.4000000000000004,-0.011747047729632443
3.5,-0.011196527083738892
3.6,-0.010238726441996235
3.7,-0.009002505074937894
3.8000000000000003,-0.007600989439379048
3.9000000000000004,-0.006129615196451648
4.0,-0.004666111981408739
4.1000000000000005,-0.003271778336437503
4.2,-0.0019932538826671407
4.3,-0.0008645741481004113
4.4,9.089646940940194e-05
4.5,0.0008589073074013667
4.6000000000000005,0.0014333111021605988
4.7,0.001815336498017821
4.800000000000001,0.002013119917437495
4.9,0.00204136561501725
5.0,0.0019208353154391434
